Year,Geography Name,Poverty Estimate,Population Estimate,Poverty Percent
2015,Carlsbad,2088,19557,0.107
2015,Carlsbad,4525,48277,0.094
2015,Carlsbad,2063,19083,0.108
2015,Carlsbad,813,16958,0.048
2015,Carlsbad,579,6381,0.091
2015,Carlsbad,10068,110256,0.091
2015,Carlsbad,5377,55461,0.097
2015,Carlsbad,4691,54795,0.086
2015,Chula Vista,7384,64291,0.115
2015,Chula Vista,10119,95696,0.106
2015,Chula Vista,8280,49884,0.166
2015,Chula Vista,3181,28655,0.111
2015,Chula Vista,3026,17232,0.176
2015,Chula Vista,31990,255758,0.125
2015,Chula Vista,18295,130347,0.14
2015,Chula Vista,13695,125411,0.109
2015,Coronado,230,3585,0.064
2015,Coronado,534,7989,0.067
2015,Coronado,237,3257,0.073
2015,Coronado,144,4181,0.034
2015,Coronado,62,1075,0.058
2015,Coronado,1207,20087,0.06
2015,Coronado,616,10367,0.059
2015,Coronado,591,9720,0.061
2015,Del Mar,36,854,0.042
2015,Del Mar,107,1763,0.061
2015,Del Mar,0,502,0
2015,Del Mar,6,1042,0.006
2015,Del Mar,0,92,0
2015,Del Mar,149,4253,0.035
2015,Del Mar,78,1916,0.041
2015,Del Mar,71,2337,0.03
2015,El Cajon,6768,27620,0.245
2015,El Cajon,7665,36859,0.208
2015,El Cajon,6036,17938,0.336
2015,El Cajon,1398,10888,0.128
2015,El Cajon,2535,7399,0.343
2015,El Cajon,24402,100704,0.242
2015,El Cajon,13040,49734,0.262
2015,El Cajon,11362,50970,0.223
2015,Encinitas,1491,12236,0.122
2015,Encinitas,1869,27048,0.069
2015,Encinitas,938,8874,0.106
2015,Encinitas,530,9237,0.057
2015,Encinitas,150,3938,0.038
2015,Encinitas,4978,61333,0.081
2015,Encinitas,2823,31128,0.091
2015,Encinitas,2155,30205,0.071
2015,Escondido,7556,41163,0.184
2015,Escondido,9149,53468,0.171
2015,Escondido,6488,25554,0.254
2015,Escondido,1665,15222,0.109
2015,Escondido,2720,11980,0.227
2015,Escondido,27578,147387,0.187
2015,Escondido,14386,74061,0.194
2015,Escondido,13192,73326,0.18
2015,Imperial Beach,1691,8061,0.21
2015,Imperial Beach,1436,9417,0.152
2015,Imperial Beach,1157,4903,0.236
2015,Imperial Beach,423,2649,0.16
2015,Imperial Beach,372,1883,0.198
2015,Imperial Beach,5079,26913,0.189
2015,Imperial Beach,2869,13772,0.208
2015,Imperial Beach,2210,13141,0.168
2015,La Mesa,2646,16388,0.161
2015,La Mesa,2026,21743,0.093
2015,La Mesa,1015,7783,0.13
2015,La Mesa,816,8114,0.101
2015,La Mesa,738,4137,0.178
2015,La Mesa,7241,58165,0.124
2015,La Mesa,4153,30296,0.137
2015,La Mesa,3088,27869,0.111
2015,Lemon Grove,876,6126,0.143
2015,Lemon Grove,1298,10715,0.121
2015,Lemon Grove,1008,4712,0.214
2015,Lemon Grove,329,2978,0.11
2015,Lemon Grove,420,1466,0.286
2015,Lemon Grove,3931,25997,0.151
2015,Lemon Grove,2165,13025,0.166
